iter	RMSE
239	34381.16603
240	34365.63233
241	34339.08437
242	34305.72126
243	34238.04397
244	34175.69527
245	34149.79301
246	34121.76661
247	34043.85528
248	33951.70113
249	33928.50906
250	33876.58805
251	33814.05356
252	33786.23727
253	33761.8534
254	33702.27699
255	33630.52253
256	33559.46714
257	33511.16694
258	33423.28755
259	33384.09837
260	33349.08745
261	33321.24337
262	33295.92036
263	33233.63221
264	33210.31633
265	33127.12683
266	33085.62228
267	33062.94901
268	32998.89353
269	32974.756
270	32923.32344
271	32904.5127
272	32877.10278
273	32811.78518
274	32789.96123
275	32755.5685
276	32689.11694
277	32650.65935
278	32629.39368
279	32576.0617
280	32555.37165
281	32535.27246
282	32503.13627
283	32468.73039
284	32439.17148
285	32373.08593
286	32322.51908
287	32297.98145
288	32238.4565
289	32212.4718
290	32161.84297
291	32054.86898
292	32036.28309
293	31989.91726
294	31944.30134
295	31926.19176
296	31908.59642
297	31806.07953
298	31786.74526
299	31743.14415
300	31715.19
301	31665.74013
302	31639.2986
303	31616.24544
304	31563.52811
305	31516.14392
306	31497.32801
307	31404.08271
308	31391.5683
309	31341.35418
310	31317.22929
311	31300.68699
312	31249.85977
313	31211.77273
314	31172.44526
315	31148.21707
316	31094.63738
317	31046.95777
318	30941.7982
319	30896.95607
320	30870.63783
321	30854.3378
322	30794.91913
323	30739.87947
324	30678.96292
325	30631.26295
326	30505.90773
327	30477.20853
328	30442.30438
329	30342.77124
330	30292.50723
331	30251.84789
332	30231.6401
333	30199.14092
334	30157.65477
335	30126.50046
336	30098.71267
337	30036.0433
338	29980.09436
339	29955.85952
340	29924.20875
341	29908.79139
342	29878.22045
343	29859.95432
344	29822.25564
345	29806.80143
346	29750.14215
347	29735.71857
348	29716.57582
349	29669.78489
350	29637.0309
351	29616.2451
352	29600.50689
353	29566.78667
354	29512.86453
355	29418.44151
356	29345.81256
357	29288.90161
358	29252.99896
359	29237.07657
360	29180.58322
361	29158.41478
362	29093.27635
363	29027.46983
364	28954.743
365	28908.97251
366	28889.23541
367	28842.96274
368	28802.59434
369	28770.46171
370	28730.55692
371	28681.17153
372	28633.92239
373	28604.69087
374	28581.36115
375	28561.66411
376	28523.75117
377	28509.74698
378	28457.01689
379	28432.37884
380	28397.48795
381	28351.68307
382	28252.04573
383	28224.49605
384	28194.00777
385	28175.7165
386	28114.91322
387	28068.31718
388	28016.65125
